ruleOrder,Setup.started,Setup.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,GNG_instructions.started,GNG_instructions.stopped,Practice_instructions.started,Practice_instructions.stopped,Fixation.started,Fixation.stopped,Practice.started,Practice.stopped,ITI.started,ITI.stopped,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,Food_item,Food_name,Category,Cat_name,Meat,Image_file0,Cond,Practice_image_file,Block_start_2.started,Block_start_2.stopped,Trial.started,Trial.stopped,responded,rt,resp_source,isGo,hit,miss,false_alarm,correct_rejection,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trial_loop.ran,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,block_loop.ran,Bye.started,Bye.stopped
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,21.4117,22.0111,,,,,,56,Macarons,6,,,,0,,,,20.6623,21.1105,1,0.3321,tap,1,1,0,0,0,7,0,7,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,22.7617,23.3114,,,,,,34,Donuts,4,,,,0,,,,22.0115,22.461,1,0.3328,tap,1,1,0,0,0,8,0,8,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,24.0784,24.8107,,,,,,1,Apple slice,1,,,,0,,,,23.3116,23.7772,1,0.3501,tap,1,1,0,0,0,9,0,9,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,25.5784,26.4452,,,,,,18,Popcorn,2,,,,1,,,,24.8111,25.0779,1,0.166,tap,0,0,0,1,0,10,0,10,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,27.1281,28.028,,,,,,1,Apple slice,1,,,,0,,,,26.4455,26.8111,1,0.2496,tap,1,1,0,0,0,11,0,11,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,28.8102,29.3278,,,,,,1,Apple slice,1,,,,0,,,,28.0283,28.4954,1,0.3504,tap,1,1,0,0,0,12,0,12,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,29.9108,30.5784,,,,,,55,Creme brulee,6,,,,0,,,,29.3284,29.5947,1,0.1508,tap,1,1,0,0,0,13,0,13,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,31.295,31.9783,,,,,,20,Tortillas,2,,,,1,,,,30.5789,30.7944,1,0.0997,tap,0,0,0,1,0,14,0,14,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,34.0777,34.9274,,,,,,6,Cut strawberry,1,,,,0,,,,31.9787,33.5773,0,,none,1,0,1,0,0,15,0,15,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,36.3617,37.0276,,,,,,41,"Chocolate snacks (e.g. Kinder, Knoppers)",5,,,,0,,,,34.9278,36.0604,1,1.0159,tap,1,1,0,0,0,16,0,16,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,37.6948,38.2771,,,,,,34,Donuts,4,,,,0,,,,37.0283,37.3776,1,0.2497,tap,1,1,0,0,0,17,0,17,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,39.0276,39.8448,,,,,,43,"Chocolate snacks (e.g. Kinder, Knoppers)",5,,,,0,,,,38.2776,38.7103,1,0.3323,tap,1,1,0,0,0,18,0,18,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,40.4281,41.1948,,,,,,60,Cupcake,6,,,,0,,,,39.8453,40.1276,1,0.1662,tap,1,1,0,0,0,19,0,19,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,41.8283,42.4115,,,,,,43,"Chocolate snacks (e.g. Kinder, Knoppers)",5,,,,0,,,,41.1952,41.5112,1,0.2008,tap,1,1,0,0,0,20,0,20,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,42.9445,43.7616,,,,,,43,"Chocolate snacks (e.g. Kinder, Knoppers)",5,,,,0,,,,42.4118,42.6436,1,0.1155,tap,1,1,0,0,0,21,0,21,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,44.2114,44.7946,,,,,,60,Cupcake,6,,,,0,,,,43.762,43.8947,1,0.017,tap,1,1,0,0,0,22,0,22,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,46.9115,47.6445,,,,,,1,Apple slice,1,,,,0,,,,44.7949,46.3937,0,,none,1,0,1,0,0,23,0,23,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,48.3782,48.9451,,,,,,41,"Chocolate snacks (e.g. Kinder, Knoppers)",5,,,,0,,,,47.6449,48.0612,1,0.3008,tap,1,1,0,0,0,24,0,24,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,49.5948,50.4772,,,,,,1,Apple slice,1,,,,0,,,,48.9455,49.2936,1,0.2322,tap,1,1,0,0,0,25,0,25,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,50.9114,51.4782,,,,,,55,Creme brulee,6,,,,0,,,,50.4778,50.6103,1,0.0322,tap,1,1,0,0,0,26,0,26,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,52.5613,53.2939,,,,,,30,Onion rings,3,,,,1,,,,51.4786,52.0609,1,0.4661,tap,0,0,0,1,0,27,0,27,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,54.1282,54.8783,,,,,,55,Creme brulee,6,,,,0,,,,53.2942,53.8113,1,0.4162,tap,1,1,0,0,0,28,0,28,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,56.2273,56.9278,,,,,,56,Macarons,6,,,,0,,,,54.8786,55.9113,1,0.9167,tap,1,1,0,0,0,29,0,29,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,57.6775,58.4271,,,,,,41,"Chocolate snacks (e.g. Kinder, Knoppers)",5,,,,0,,,,56.928,57.3611,1,0.3331,tap,1,1,0,0,0,30,0,30,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,59.4447,60.177,,,,,,37,Pain au chocolat,4,,,,0,,,,58.4274,59.1278,1,0.5832,tap,1,1,0,0,0,31,0,31,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,60.8282,61.4949,,,,,,34,Donuts,4,,,,0,,,,60.1773,60.5269,1,0.2491,tap,1,1,0,0,0,32,0,32,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,62.4783,63.0783,,,,,,37,Pain au chocolat,4,,,,0,,,,61.4952,62.1611,1,0.5498,tap,1,1,0,0,0,33,0,33,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,63.9115,64.4614,,,,,,41,"Chocolate snacks (e.g. Kinder, Knoppers)",5,,,,0,,,,63.0785,63.6102,1,0.4155,tap,1,1,0,0,0,34,0,34,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,65.4448,65.9781,,,,,,15,Flute,2,,,,1,,,,64.4618,64.9278,1,0.3493,tap,0,0,0,1,0,35,0,35,0,1,,,,,,,
