aat_ruleOrder,Setup.started,Setup.stopped,participant,lang,date,expName,psychopyVersion,OS,frameRate,hub,task,AAT_instructions.started,AAT_instructions.stopped,AAT_prac_instructions.started,AAT_prac_instructions.stopped,AAT_fixation.started,AAT_fixation.stopped,AAT_practice_trial.started,AAT_practice_trial.stopped,aat_prac_img,aat_prac_RT,aat_prac_response,aat_prac_velocity,aat_prac_init_latency,aat_prac_reversal,aat_prac_distance,aat_prac_displacement,aat_prac_speed,aat_prac_move_time,aat_prac_correct,aat_prac_responded,aat_prac_loop.thisRepN,aat_prac_loop.thisTrialN,aat_prac_loop.thisN,aat_prac_loop.thisIndex,aat_prac_loop.ran,Food_item,Food_name,Category,Cat_name,Meat,Image_file0,Cond,Practice_image_file,AAT_block_start.started,AAT_block_start.stopped,AAT_trial.started,AAT_trial.stopped,aat_block,aat_food_item,aat_food_name,aat_category,aat_cond,aat_congruency,aat_img_file,aat_RT,aat_response,aat_velocity,aat_init_latency,aat_reversal,aat_distance,aat_displacement,aat_speed,aat_move_time,aat_correct,aat_responded,aat_trial_loop.thisRepN,aat_trial_loop.thisTrialN,aat_trial_loop.thisN,aat_trial_loop.thisIndex,aat_trial_loop.ran,AAT_break.started,AAT_break.stopped,Bye.started,Bye.stopped
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,51.976,52.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.326,53.108,1,54,Ice cream cone,6,0,compatible,Items_pictures/54_ice_cream.png,0.697,approach,7.044807045,0.664,0,0.373504274,0.232478632,7.044807045,0.033,0,1,24,0,24,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,53.362,54.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.03,54.578,1,4,Plain yogurt,1,0,compatible,Items_pictures/4_plain_yogurt.png,0.464,approach,9.43019943,0.434,0,0.428205128,0.282905983,9.43019943,0.03,0,1,25,0,25,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,54.831,55.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.55,56.281,1,57,Fondant au chocolat,6,0,compatible,Items_pictures/57_fondant.png,0.649,approach,8.019105078,0.615,0,0.441880342,0.272649573,8.019105078,0.034,0,1,26,0,26,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,56.535,57.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.303,58.084,1,5,Bell pepper,1,1,incompatible,Items_pictures/5_bell_pepper.png,0.682,avoid,5.270655271,0.634,0,0.367521341,0.252991453,4.11324732,0.048,0,1,27,0,27,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,58.339,58.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.973,59.938,1,37,Pain au chocolat,4,0,compatible,Items_pictures/37_pain_chocolat.png,0.883,approach,7.918552036,0.849,0,0.394017146,0.269230769,7.968830091,0.034,0,1,28,0,28,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,60.192,60.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.627,61.309,1,30,Onion rings,3,1,incompatible,Items_pictures/30_onion_rings.png,0.581,avoid,7.318376068,0.549,0,0.321367495,0.234188034,5.422007732,0.032,0,1,29,0,29,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,61.561,61.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.93,62.66,1,11,Crisps,2,1,incompatible,Items_pictures/11_crisps.png,0.631,avoid,6.490384615,0.599,0,0.339316239,0.207692308,5.235042735,0.032,0,1,30,0,30,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,62.915,63.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.566,64.315,1,49,Chocolate cookies,5,0,compatible,Items_pictures/49_chocolate_cookie.png,0.648,approach,5.016722408,0.602,0,0.482051282,0.230769231,5.016722408,0.046,0,1,31,0,31,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,64.568,65.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.137,65.733,1,41,"Chocolate snacks (e.g. Kinder, Knoppers)",5,0,compatible,Items_pictures/41_chocolate_snack.png,0.502,approach,4.574232352,0.448,0,0.444444444,0.247008547,4.574232352,0.054,0,1,32,0,32,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,65.988,66.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.456,66.97,1,37,Pain au chocolat,4,0,compatible,Items_pictures/37_pain_chocolat.png,0.448,approach,7.56661639,0.414,0,0.39743595,0.257264957,8.069383133,0.034,0,1,33,0,33,0,1,,,,
