aat_ruleOrder,Setup.started,Setup.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,AAT_instructions.started,AAT_instructions.stopped,AAT_fixation.started,AAT_fixation.stopped,AAT_practice_trial.started,AAT_practice_trial.stopped,aat_prac_img,aat_prac_rt,aat_prac_direction,aat_prac_velocity,aat_prac_responded,aat_prac_loop.thisRepN,aat_prac_loop.thisTrialN,aat_prac_loop.thisN,aat_prac_loop.thisIndex,aat_prac_loop.ran,Food_item,Food_name,Category,Cat_name,Meat,Image_file0,Cond,Practice_image_file,AAT_block_start.started,AAT_block_start.stopped,AAT_trial.started,AAT_trial.stopped,aat_block,aat_food_item,aat_food_name,aat_category,aat_cond,aat_compatible,aat_img_file,aat_rt,aat_direction,aat_velocity,aat_responded,aat_trial_loop.thisRepN,aat_trial_loop.thisTrialN,aat_trial_loop.thisN,aat_trial_loop.thisIndex,aat_trial_loop.ran,AAT_break.started,AAT_break.stopped,Bye.started,Bye.stopped
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,72.586,73.0024,,,,,,,,,,,,,,,,,,,,,,,73.0027,73.5358,1,56,Macarons,6,0,compatible,Items_pictures/56_macaron.png,0.1668,approach,1.094655725,1,42,0,42,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,73.8367,74.4024,,,,,,,,,,,,,,,,,,,,,,,74.4027,74.9525,1,6,Cut strawberry,1,0,compatible,Items_pictures/6_strawberries.png,0.1835,approach,1.022639017,1,43,0,43,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,75.2695,75.9524,,,,,,,,,,,,,,,,,,,,,,,75.9527,76.4361,1,55,Creme brulee,6,0,compatible,Items_pictures/55_creme_brulee.png,0.1667,approach,1.139222792,1,44,0,44,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,76.7528,77.185,,,,,,,,,,,,,,,,,,,,,,,77.1853,77.7026,1,39,Muffin,4,0,compatible,Items_pictures/39_muffin.png,0.184,approach,1.162112079,1,45,0,45,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,78.0186,78.4354,,,,,,,,,,,,,,,,,,,,,,,78.4357,79.2024,1,5,Bell pepper,1,1,incompatible,Items_pictures/5_bell_pepper.png,0.3008,approach,0.565106637,1,46,0,46,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,79.703,80.1192,,,,,,,,,,,,,,,,,,,,,,,80.1193,82.136,1,39,Muffin,4,0,compatible,Items_pictures/39_muffin.png,,none,,0,47,0,47,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,82.6522,83.0859,,,,,,,,,,,,,,,,,,,,,,,83.0862,85.103,1,37,Pain au chocolat,4,0,compatible,Items_pictures/37_pain_chocolat.png,,none,,0,48,0,48,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,85.6199,86.3028,,,,,,,,,,,,,,,,,,,,,,,86.3031,88.3197,1,15,Flute,2,1,incompatible,Items_pictures/15_flute.png,,none,,0,49,0,49,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,88.8348,89.6196,,,,,,,,,,,,,,,,,,,,,,,89.62,91.6364,1,36,Pretzel,4,1,incompatible,Items_pictures/36_pretzel.png,,none,,0,50,0,50,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,92.1524,92.6527,,,,,,,,,,,,,,,,,,,,,,,92.6531,94.6695,1,13,Crisps,2,1,incompatible,Items_pictures/13_crisps.png,,none,,0,51,0,51,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,95.1863,95.8361,,,,,,,,,,,,,,,,,,,,,,,95.8365,97.8529,1,15,Flute,2,1,incompatible,Items_pictures/15_flute.png,,none,,0,52,0,52,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,98.3697,99.1364,,,,,,,,,,,,,,,,,,,,,,,99.1367,101.1529,1,5,Bell pepper,1,1,incompatible,Items_pictures/5_bell_pepper.png,,none,,0,53,0,53,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,101.6693,102.0846,,,,,,,,,,,,,,,,,,,,,,,102.0847,104.0852,1,1,Apple slice,1,0,compatible,Items_pictures/1_apple.png,,none,,0,54,0,54,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,104.603,104.9351,,,,,,,,,,,,,,,,,,,,,,,104.9355,106.9523,1,22,Pizza (vegetarian),3,1,incompatible,Items_pictures/22_veg_pizza.png,,none,,0,55,0,55,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,107.4697,107.7696,,,,,,,,,,,,,,,,,,,,,,,107.7699,109.7856,1,55,Creme brulee,6,0,compatible,Items_pictures/55_creme_brulee.png,,none,,0,56,0,56,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,110.2864,110.8352,,,,,,,,,,,,,,,,,,,,,,,110.8354,112.8362,1,18,Popcorn,2,1,incompatible,Items_pictures/18_popcorn.png,,none,,0,57,0,57,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,113.3527,114.1027,,,,,,,,,,,,,,,,,,,,,,,114.103,116.1186,1,9,Healthy cracker (Darvida),1,1,incompatible,Items_pictures/9_healthy_cracker.png,,none,,0,58,0,58,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,116.6195,117.1694,,,,,,,,,,,,,,,,,,,,,,,117.1697,119.1863,1,15,Flute,2,1,incompatible,Items_pictures/15_flute.png,,none,,0,59,0,59,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,119.7028,120.1529,,,,,,,,,,,,,,,,,,,,,,,120.1532,122.1692,1,30,Onion rings,3,1,incompatible,Items_pictures/30_onion_rings.png,,none,,0,60,0,60,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,122.6852,123.1861,,,,,,,,,,,,,,,,,,,,,,,123.1865,125.2027,1,36,Pretzel,4,1,incompatible,Items_pictures/36_pretzel.png,,none,,0,61,0,61,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,125.7187,126.2862,,,,,,,,,,,,,,,,,,,,,,,126.2866,128.3018,1,56,Macarons,6,0,compatible,Items_pictures/56_macaron.png,,none,,0,62,0,62,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,128.803,129.3527,,,,,,,,,,,,,,,,,,,,,,,129.353,131.3691,1,44,Chocolate bar,5,0,compatible,Items_pictures/44_chocolate_snack.png,,none,,0,63,0,63,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,131.8857,132.6683,,,,,,,,,,,,,,,,,,,,,,,132.6687,134.6693,1,25,French fries,3,1,incompatible,Items_pictures/25_fries.png,,none,,0,64,0,64,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,135.1853,135.8693,,,,,,,,,,,,,,,,,,,,,,,135.8695,137.8861,1,20,Tortillas,2,1,incompatible,Items_pictures/20_tortillas.png,,none,,0,65,0,65,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,138.4029,138.9192,,,,,,,,,,,,,,,,,,,,,,,138.9195,140.9354,1,43,"Chocolate snacks (e.g. Kinder, Knoppers)",5,0,compatible,Items_pictures/43_chocolate_snack.png,,none,,0,66,0,66,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,141.4531,142.0517,,,,,,,,,,,,,,,,,,,,,,,142.052,144.0523,1,9,Healthy cracker (Darvida),1,1,incompatible,Items_pictures/9_healthy_cracker.png,,none,,0,67,0,67,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,144.5693,144.9849,,,,,,,,,,,,,,,,,,,,,,,144.9853,147.0024,1,18,Popcorn,2,1,incompatible,Items_pictures/18_popcorn.png,,none,,0,68,0,68,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,147.5191,148.0696,,,,,,,,,,,,,,,,,,,,,,,148.0703,150.0849,1,37,Pain au chocolat,4,0,compatible,Items_pictures/37_pain_chocolat.png,,none,,0,69,0,69,0,1,,,,
,,,052224,001,2026-03-27_13h08.25.880,AAT,2024.2.4,MacIntel,57.80346821,,,150.5862,151.1022,,,,,,,,,,,,,,,,,,,,,,,151.1026,153.1194,1,25,French fries,3,1,incompatible,Items_pictures/25_fries.png,,none,,0,70,0,70,0,1,,,,
